Renewable electricity: number of installations at Local Authority Level - as at end of 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Code [note 1],Local Authority Name  [note 5][note 6][note 7] [note 8][note 9],Region,Country,Estimated number of households  [note 2][note 3][note 4],Photovoltaics,Onshore Wind,Hydro,Anaerobic Digestion,Offshore Wind,Wave/Tidal,Sewage Gas,Landfill Gas,Municipal Solid Waste,Animal Biomass,Plant Biomass,Cofiring,Total,,,,,,,,,,,,,
S12000033,Aberdeen City,Scotland,Scotland," 112,387 ","4,113 ",8 ,2 ,1 ,1 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,"4,129 ",,,,,,,,,,,,,
S12000034,Aberdeenshire,Scotland,Scotland," 117,419 ","17,381 ",590 ,15 ,5 ,3 ,0 ,0 ,3 ,0 ,0 ,8 ,0 ,"18,005 ",,,,,,,,,,,,,
E07000223,Adur,South East,England," 27,700 ","1,418 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"1,421 ",,,,,,,,,,,,,
E07000032,Amber Valley,East Midlands,England," 56,300 ","3,192 ",9 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,206 ",,,,,,,,,,,,,
S12000041,Angus,Scotland,Scotland," 54,998 ","5,531 ",91 ,17 ,4 ,0 ,0 ,1 ,3 ,0 ,0 ,7 ,0 ,"5,654 ",,,,,,,,,,,,,
S12000035,Argyll and Bute,Scotland,Scotland," 42,831 ","3,308 ",122 ,126 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,"3,559 ",,,,,,,,,,,,,
E07000224,Arun,South East,England," 72,700 ","4,658 ",1 ,0 ,1 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,"4,663 ",,,,,,,,,,,,,
E07000170,Ashfield,East Midlands,England," 54,500 ","3,177 ",6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,"3,185 ",,,,,,,,,,,,,
E07000105,Ashford,South East,England," 53,600 ","4,608 ",4 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"4,614 ",,,,,,,,,,,,,
E07000200,Babergh,Eastern,England," 40,200 ","5,369 ",5 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"5,379 ",,,,,,,,,,,,,
E09000002,Barking and Dagenham,London,England," 73,900 ","2,705 ",1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,708 ",,,,,,,,,,,,,
E09000003,Barnet,London,England," 148,900 ","3,261 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,263 ",,,,,,,,,,,,,
E08000016,Barnsley,Yorkshire and Humber,England," 108,100 ","7,356 ",37 ,2 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,"7,399 ",,,,,,,,,,,,,
E07000066,Basildon,Eastern,England," 76,400 ","3,047 ",2 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"3,052 ",,,,,,,,,,,,,
E07000084,Basingstoke and Deane,South East,England," 76,600 ","4,604 ",1 ,1 ,6 ,0 ,0 ,2 ,1 ,1 ,0 ,1 ,0 ,"4,617 ",,,,,,,,,,,,,
E07000171,Bassetlaw,East Midlands,England," 51,500 ","5,586 ",23 ,1 ,4 ,0 ,0 ,1 ,3 ,0 ,0 ,2 ,0 ,"5,620 ",,,,,,,,,,,,,
E06000022,Bath and North East Somerset,South West,England," 79,200 ","5,402 ",4 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,413 ",,,,,,,,,,,,,
E06000055,Bedford,Eastern,England," 74,900 ","4,213 ",15 ,1 ,1 ,0 ,0 ,1 ,2 ,1 ,1 ,2 ,0 ,"4,237 ",,,,,,,,,,,,,
E09000004,Bexley,London,England," 95,300 ","2,761 ",2 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,"2,766 ",,,,,,,,,,,,,
E08000025,Birmingham,West Midlands,England," 423,500 ","13,328 ",2 ,0 ,1 ,0 ,0 ,3 ,0 ,2 ,0 ,1 ,0 ,"13,337 ",,,,,,,,,,,,,
E07000129,Blaby,East Midlands,England," 42,600 ","2,363 ",3 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,"2,370 ",,,,,,,,,,,,,
E06000008,Blackburn With Darwen,North West,England," 58,800 ","3,408 ",10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,"3,420 ",,,,,,,,,,,,,
E06000009,Blackpool,North West,England," 64,800 ","1,507 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,509 ",,,,,,,,,,,,,
W06000019,Blaenau Gwent / Blaenau Gwent,Wales,Wales," 30,300 ","1,737 ",6 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,"1,746 ",,,,,,,,,,,,,
E07000033,Bolsover,East Midlands,England," 35,300 ","2,327 ",4 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"2,333 ",,,,,,,,,,,,,
E08000001,Bolton,North West,England," 118,800 ","3,767 ",3 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,"3,772 ",,,,,,,,,,,,,
E07000136,Boston,East Midlands,England," 29,400 ","3,269 ",27 ,0 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,"3,303 ",,,,,,,,,,,,,
E06000058,"Bournemouth, Christchurch And Poole",South West,England," 173,800 ","10,537 ",1 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,2 ,0 ,"10,544 ",,,,,,,,,,,,,
E06000036,Bracknell Forest,South East,England," 50,200 ","3,161 ",1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"3,164 ",,,,,,,,,,,,,
E08000032,Bradford,Yorkshire and Humber,England," 209,900 ","6,585 ",61 ,1 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,"6,651 ",,,,,,,,,,,,,
E07000067,Braintree,Eastern,England," 65,000 ","4,002 ",11 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"4,016 ",,,,,,,,,,,,,
E07000143,Breckland,Eastern,England," 60,400 ","6,678 ",191 ,0 ,7 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,"6,880 ",,,,,,,,,,,,,
E09000005,Brent,London,England," 118,600 ","2,035 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"2,038 ",,,,,,,,,,,,,
E07000068,Brentwood,Eastern,England," 32,300 ","1,361 ",1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"1,363 ",,,,,,,,,,,,,
W06000013,Bridgend / Pen-Y-Bont Ar Ogwr,Wales,Wales," 62,400 ","3,636 ",19 ,4 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"3,662 ",,,,,,,,,,,,,
E06000043,Brighton and Hove,South East,England," 121,400 ","4,498 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,500 ",,,,,,,,,,,,,
E06000023,"Bristol, City of",South West,England," 191,600 ","10,029 ",9 ,0 ,2 ,0 ,0 ,1 ,0 ,4 ,0 ,0 ,0 ,"10,045 ",,,,,,,,,,,,,
E07000144,Broadland,Eastern,England," 57,800 ","5,932 ",15 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,"5,952 ",,,,,,,,,,,,,
E09000006,Bromley,London,England," 135,800 ","3,771 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,771 ",,,,,,,,,,,,,
E07000234,Bromsgrove,West Midlands,England," 41,300 ","2,129 ",1 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"2,133 ",,,,,,,,,,,,,
E07000095,Broxbourne,Eastern,England," 39,900 ","1,194 ",0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,"1,196 ",,,,,,,,,,,,,
E07000172,Broxtowe,East Midlands,England," 48,400 ","2,388 ",2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,"2,392 ",,,,,,,,,,,,,
E06000060,Buckinghamshire,South East,England," 220,300 ","13,619 ",9 ,0 ,2 ,0 ,0 ,2 ,9 ,1 ,0 ,0 ,0 ,"13,642 ",,,,,,,,,,,,,
E07000117,Burnley,North West,England," 39,900 ","1,473 ",20 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"1,494 ",,,,,,,,,,,,,
